"ID","Description","Gravity","Urgency","Trend","Type","Redirection","Local","Category"
"1","dique dos tanques 5001 e 5002 com rachaduras nas laterais e piso","4","2","3","2","4","MATRIZ - PLANTA EMULSAO BOMBEADA IBQ","11"
"2","O UMB CB 119, foi contado que ar condicionado não está funcionando .","3","3","3","2","2","US VALE CARAJAS","11"
"3","Placa de informação Saída de emergência na área do paiol de explosivo caiu","2","2","2","2","2","US MARACA","9"
"4","Placa de informação Saída de emergência na área do paiol de explosivo caiu","2","2","2","2","2","US MARACA","9"
"5","Placa de informação Saída de emergência na área do paiol de explosivo caiu","2","2","2","2","2","US MARACA","4"
"6","Placa de informação Saída de emergência na área do paiol de explosivo caiu","1","2","1","2","2","US MARACA","9"
"7","placa de identificação saida de emergência caída , no paiol de explosivos base enaex","2","2","2","2","2","US MARACA","9"
"8","Placa de informação Saída de emergência na área do paiol de explosivo caiu","2","2","1","2","2","US MARACA","4"
"9","Placa de informação Saída de emergência na área do paiol de explosivo caiu","2","2","2","2","2","US MARACA","4"
"10","placa de identificação, caída no chão!","2","2","1","2","2","US MARACA","4"
"11","Placa de informação Saída de emergência na área do paiol de explosivo caiu","2","2","2","2","2","US MARACA","9"
"12","operador da manutenção,estacionou o  carro encima da faixa de pedestres.","1","1","1","1","3","MATRIZ - MANUT. INDUSTRIAL","6"
"13","banheiro se encontra sem leira na área do TQ-2 cava do sequerinho.","3","3","3","2","2","US SOSSEGO","4"
"14","banheiro químico na área do TQ-2 sem leira de proteção.","3","3","3","1","2","US SOSSEGO","9"
"15","vassoura em lugar inadequado._x000d_
_x000d_
Tratativa: colocar em local adequado.","2","2","2","1","2","US ATLANTIC NICKEL","4"
"16","solicitar material (pó de brita) para fazer uma leira de proteção para os para raios dos paióis. _x000d_
_x000d_
melhoria da área para evitar possíveis colisões.","2","2","2","2","2","US ATLANTIC NICKEL","4"
"17","fechadura quebrada na porta do paiol  de explosivo_x000d_
_x000d_
realizar a subsistituicao.","2","2","2","2","2","US ATLANTIC NICKEL","4"
"18","matacos carregado de baixo do fogo.","3","3","3","2","2","OPERAÇÕES -  SÃO PAULO","1"
"19","Fogo sem boretrak","2","2","2","2","2","OPERAÇÕES -  SÃO PAULO","0"
"20","bancada irregular com pedras soltas risco de torção ou queda.  cliente Intercement Apiai SP","3","3","3","2","2","OPERAÇÕES -  PARANA","9"
"21","bancada sem acesso tendo que entrar com o caminhão por cima de pedras com risco de cortar os pneus e danificar o caminhão","3","3","3","2","2","OPERAÇÕES -  PARANA","6"
"22","furo no pé do talude com material solto / ação tomada= dobrar a atenção no carregamento","3","3","3","2","2","OPERAÇÕES -  CEZARINA","9"
"23","teste","0","0","0","0","0","CD PARANA","0"
"24","material solto na boca do furo /ação tomada = retirar o material sa boca do furo","2","2","2","2","2","OPERAÇÕES -  CEZARINA","9"
"25","perfuratris au Lado da bancada atrasando o carregamento/ação tomada = pedimos a retirada do equipamento para começar o carregamento","3","3","3","1","2","OPERAÇÕES -  CEZARINA","9"
"26","copo descartave jogado no chão","2","2","2","1","2","US SAO MATHEUS","4"
"27","cargueiro trafegando com os faróis desligado","2","2","2","1","2","CD PARANA","9"
"28","maribomdo na caixa tomada lavador","3","3","3","2","2","US MANGANES","4"
"29","maribomdo na caixa tomada lavador","3","3","3","2","2","US MANGANES","0"
"30","lavador de botas próximo a sala técnica não está funcionando","2","2","2","2","2","US VALE CARAJAS","4"
"31","lavador de botas não está funcionando próximo a sala técnica","3","3","3","2","2","US VALE CARAJAS","4"
"32","duas torneiras do bebedouro de água da área de vivência estão quebrada","3","3","3","2","2","US VALE CARAJAS","4"
"33","lavador de botas próximo a sala técnica não está funcionando","2","2","2","2","2","US VALE CARAJAS","4"
"34","colaborador terceiro usando torneira aberta e desperdiçado água no local, para realizar serviço civil de obra no piso do caminho seguro.","2","1","1","1","4","CD PARANA","4"
"35","trava queda do silo de abastecimento de nitrato não está funcionando corretamente","4","5","5","2","2","US VALE CARAJAS","2"
"36","a linha de vida do nitrato tá com desgaste,podendo acasionar um acidente.","5","5","5","2","2","US VALE CARAJAS","2"
"37","guarda corpo do CB 120 não está funcionando","3","4","3","2","2","US VALE CARAJAS","2"
"38","guarda corpo do CB 120 não está funcionando","5","5","5","2","2","US VALE CARAJAS","2"
"39","CB 124 . sinto motorista  desgastado,  precisa trocar.","2","2","2","2","2","US VALE CARAJAS","11"
"40","o Cabo de aço do trava quedas do silo de nitrato está com desgaste rompendo os fios...","0","0","0","0","0","US VALE CARAJAS","0"
"41","o Cabo de aço do trava quedas do silo de nitrato está com desgaste rompendo os fios...","3","3","4","2","2","US VALE CARAJAS","11"
"42","bolsa do kit emergência  está faltando cb124","3","3","2","2","2","US VALE CARAJAS","2"
"43","o Cabo de aço do trava quedas está começando a ronber os fios....esse trava quedas e do cilo de nitrato","3","3","4","2","2","US VALE CARAJAS","2"
"44","suporte de saída do ar condicionado da VL- 06 Argo quebrado.","2","2","2","2","2","US MARACA","11"
"45","Falta de sinalização para veículos estacionar em frente ao prédio do arquivo morto, falta placas e demarcação de vagas. É frequente veículos estacionados em frente às escadas.","1","1","1","2","3","MATRIZ - FACILITIES","4"
"46","desorganizado, botina guardado em local errado","1","1","1","1","2","US MARACA","4"
"47","camisa do colaborador da enaex sem identificação da empresa.","1","1","1","1","2","US MARACA","9"
"48","Crachá do colaborador da Enaex sem identificação do mesmo.","2","3","1","1","2","US MARACA","9"
"49","placa de informação saída de emergência na área do paiol de explosivo caída.","1","2","1","2","2","US MARACA","4"
"50","placa de sinalização escondida pelo mato","2","2","2","2","2","US MARACA","4"
